Periode;VSNR;Name;Lohnart-Nr;Lohnart-Bez;Betrag;Beitragsgruppe;Konto;Kostenstelle
2026-01;1234567890;Mustermann, Max;0001;Grundgehalt;3000,00;D1;6000;100
2026-01;1234567890;Mustermann, Max;0200;Lohnsteuer;500,00;D1;3500;100
2026-01;1234567890;Mustermann, Max;0210;SV-AN;543,60;D1;3540;100
2026-01;1234567890;Mustermann, Max;0300;SV-AG;636,90;D1;6500;100
2026-01;1234567890;Mustermann, Max;0310;DB-FLAG;123,00;D1;6510;100
2026-01;1234567890;Mustermann, Max;0320;DZ;11,40;D1;6530;100
2026-01;1234567890;Mustermann, Max;0330;KomSt;90,00;D1;6520;100
2026-01;1234567890;Mustermann, Max;9000;Nettogehalt;1956,40;D1;3700;100
2026-01;9876543210;Beispiel, Erika;0001;Grundgehalt;2500,00;D1;6000;100
2026-01;9876543210;Beispiel, Erika;0200;Lohnsteuer;380,00;D1;3500;100
2026-01;9876543210;Beispiel, Erika;0210;SV-AN;453,00;D1;3540;100
2026-01;9876543210;Beispiel, Erika;0300;SV-AG;530,75;D1;6500;100
2026-01;9876543210;Beispiel, Erika;0310;DB-FLAG;102,50;D1;6510;100
2026-01;9876543210;Beispiel, Erika;0320;DZ;9,50;D1;6530;100
2026-01;9876543210;Beispiel, Erika;0330;KomSt;75,00;D1;6520;100
2026-01;9876543210;Beispiel, Erika;9000;Nettogehalt;1667,00;D1;3700;100
